"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8079996109009","10.2519998550415","8.63300037384033","7.04699993133545","8.10700035095215","7.9060001373291","7.77899980545044","7.73199987411499","7.69700002670288","7.64300012588501","7.39699983596802","9.26399993896484","9.10700035095215","8.95199966430664","9.14799976348877","9.17099952697754","9.86900043487549","9.84099960327148","11.3889999389648","13.0389995574951","15.0740003585815","16.9549999237061","16.5100002288818","16.3649997711182","16.0979995727539","16","15.8719997406006","15.8439998626709","15.83899974823",
"Angola","AGO","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90400004386902","1.90299999713898","1.90499997138977","1.90799999237061","1.88100004196167","1.86600005626678","1.86099994182587","1.88300001621246","1.85300004482269","1.83700001239777","1.8309999704361","1.79200005531311","1.77799999713898","1.77900004386902","1.67400002479553","1.56099998950958","1.46300005912781","1.37199997901917","1.27900004386902","1.19900000095367","1.11800003051758","1.12699997425079","1.12600004673004","1.12100005149841","1.11899995803833","1.11899995803833","1.11699998378754","1.1139999628067","1.11199998855591",
"Albania","ALB","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0649995803833","10.7709999084473","10.4899997711182","10.2919998168945","10.0649995803833","9.8459997177124","9.96399974822998","9.81599998474121","9.58699989318848","9.46000003814697","9.32499980926514","9.25599956512451","9.17899990081787","9.10299968719482","9.03699970245361","8.98700046539307","8.92399978637695","8.8439998626709","10.2600002288818","10.6429996490479","11.4259996414185","10.5830001831055","10.2399997711182","11.6709995269775","13.8830003738403","14.4729995727539","15.1040000915527","15.0150003433228","14.9160003662109",
"Andorra","AND","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6822756233177","12.8525051780299","12.3708920520107","11.9535014095021","12.1798384921896","11.9215859416274","11.8345356395533","12.0449774646199","12.4802159004064","11.3482407950818","12.1804230049869","12.1994475962976","11.1137665698566","10.8352740956987","10.517097176648","10.5130762324895","10.2747295966272","10.1427558329344","9.83758251520051","9.91205925315689","9.51471681310026","9.56260055168265","9.4559144515973","9.2163135362787","9.24571800770545","9.23938028308933","9.25961404473919","9.18718442927604","9.1134129700976",
"United Arab Emirates","ARE","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7390003204346","13.7910003662109","13.8479995727539","13.9209995269775","13.7749996185303","13.625","13.6029996871948","13.6040000915527","13.6730003356934","13.6599998474121","12.2889995574951","11.0699996948242","9.84099960327148","8.72399997711182","7.87400007247925","7.13500022888184","6.54699993133545","6.11899995803833","6.39499998092651","6.50400018692017","6.43699979782104","6.33500003814697","6.23199987411499","6.16400003433228","6.11600017547607","6.09299993515015","6.07499980926514","6.06300020217896","6.01200008392334",
"Argentina","ARG","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7670001983643","18.9230003356934","16.1660003662109","14.5220003128052","15.0249996185303","12.5200004577637","11.6549997329712","10.7700004577637","10.831000328064","10.3190002441406","10.4230003356934","9.39700031280518","11.1730003356934","10.7880001068115","10.6040000915527","10.6040000915527","10.371000289917","10.1660003662109","9.62199974060059","9.3769998550415","9.95400047302246","9.46199989318848","8.91800022125244","8.32600021362305","8.5939998626709","8.86100006103516","9.11299991607666","8.97500038146973","8.87100028991699",
"Armenia","ARM","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.96799993515015","7.91400003433228","7.97200012207031","7.95699977874756","7.88899993896484","7.78499984741211","7.72100019454956","7.79199981689453","7.74900007247925","7.74599981307983","7.74900007247925","7.75899982452393","7.77099990844727","7.76399993896484","7.78800010681152","7.84800004959106","7.86100006103516","6.68699979782104","5.3769998550415","5.81500005722046","6.37900018692017","7.53299999237061","6.51200008392334","8.04500007629395","7.52299976348877","7.84700012207031","7.80200004577637","7.7350001335144","7.67500019073486",
"American Samoa","ASM","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
