"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7829971313477","76.2350006103516","80.4800033569336","84.213996887207","80.5130004882813","81.3980026245117","82.1139984130859","82.6650009155273","83.2279968261719","83.8840026855469","84.6760025024414","79.556999206543","79.2419967651367","79.4400024414063","78.7750015258789","78.5289993286133","77.1559982299805","76.8150024414063","72.0579986572266","67.4329986572266","62.390998840332","55.9029998779297","55.8779983520508","55.8969993591309","56.0870018005371","56.0460014343262","55.9570007324219","55.7280006408691","55.4189987182617",
"Angola","AGO","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.9300003051758","48.9980010986328","49.4160003662109","49.8730010986328","49.2849998474121","48.8190002441406","48.0180015563965","47.4889984130859","47.9070014953613","47.4830017089844","46.8330001831055","45.4140014648438","44.8540000915527","44.4309997558594","46.5789985656738","48.148998260498","49.9830017089844","52.0849990844727","53.1230010986328","55.7439994812012","58.0009994506836","57.6609992980957","57.0419998168945","56.4059982299805","55.9560012817383","55.9970016479492","55.7830009460449","55.5289993286133","55.2540016174316",
"Albania","ALB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.548999786377","60.3790016174316","60.2430000305176","60.0330009460449","59.8520011901855","59.7620010375977","59.4560012817383","59.3629989624023","59.3170013427734","59.1599998474121","58.9519996643066","58.685001373291","58.3889999389648","58.0890007019043","57.7840003967285","57.4700012207031","57.1669998168945","56.9010009765625","57.2220001220703","53.0880012512207","54.3610000610352","57.0559997558594","53.1419982910156","50.4620018005371","47.7949981689453","45.1790008544922","42.5439987182617","42.2890014648438","42.0349998474121",
"Andorra","AND","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.8059094608082","47.829728406862","45.9524231962687","46.3148715829931","44.4993414292788","43.6352034108532","42.6647608506502","40.5793723536103","38.9868335641041","41.1007184958637","38.0518579379914","36.1799851852506","38.1303211989515","39.3549958474397","38.6896287911772","37.1224887952588","37.4079859100449","36.0780560992219","35.5003650056452","34.0740094455064","33.3768392833721","31.2453037531347","32.1001747684179","32.0516240380584","30.76823688796","30.2293306907966","29.9000567929574","29.8629373021362","29.8073775761976",
"United Arab Emirates","ARE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.068000003695488","0.0659999996423721","0.0640000030398369","0.061999998986721","0.0599999986588955","0.0599999986588955","0.0590000003576279","0.0579999983310699","0.0590000003576279","0.0590000003576279","0.0719999969005585","0.0860000029206276","0.0989999994635582","0.109999999403954","0.120999999344349","0.131999999284744","0.141000002622604","0.151999995112419","0.151999995112419","0.153999999165535","0.153999999165535","0.150000005960464","0.145999997854233","0.142000004649162","0.136000007390976","0.133000001311302","0.129999995231628","0.128000006079674","0.125",
"Argentina","ARG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.135000005364418","0.321000009775162","0.296000003814697","0.239999994635582","0.363000005483627","0.222000002861023","0.256000012159348","0.230000004172325","0.234999999403954","0.236000001430511","0.296999990940094","0.472000002861023","0.973999977111816","0.966000020503998","0.718999981880188","0.486999988555908","0.418999999761581","0.347000002861023","0.39300000667572","0.379999995231628","0.284000009298325","0.282999992370605","0.224999994039536","0.153999999165535","0.0710000023245811","0.0329999998211861","0.0149999996647239","0.0149999996647239","0.0149999996647239",
"Armenia","ARM","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1220016479492","47.701000213623","47.9550018310547","47.5810012817383","47.0979995727539","46.8349990844727","46.5719985961914","46.3520011901855","46.117000579834","45.935001373291","45.7019996643066","45.4339981079102","45.1570014953613","44.9029998779297","44.6080017089844","44.2319984436035","43.8680000305176","44.3769989013672","45.742000579834","47.2820014953613","45.6189994812012","44.0639991760254","44.7019996643066","40.5789985656738","40.0880012512207","36.9109992980957","36.7439994812012","36.5890007019043","36.4410018920898",
"American Samoa","ASM","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
